in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
385,0.622222,2,4,12,6,Windowplacements385.png
386,0.572222,3,13,6,14,Windowplacements386.png
387,0.583333,0,19,5,13,Windowplacements387.png
388,0.683333,0,9,16,15,Windowplacements388.png
389,0.461111,3,12,4,15,Windowplacements389.png
390,0.633333,8,5,13,7,Windowplacements390.png
391,0.672222,8,2,13,5,Windowplacements391.png
392,0.633333,1,2,12,6,Windowplacements392.png
393,0.511111,16,18,13,6,Windowplacements393.png
394,0.461111,16,18,14,6,Windowplacements394.png
395,0.611111,0,18,14,15,Windowplacements395.png
396,0.694444,0,1,3,4,Windowplacements396.png
397,0.616667,0,18,2,5,Windowplacements397.png
398,0.661111,16,10,18,7,Windowplacements398.png
399,0.672222,1,10,11,15,Windowplacements399.png
400,0.677778,17,19,3,5,Windowplacements400.png
401,0.683333,8,1,10,4,Windowplacements401.png
402,0.605556,16,8,19,14,Windowplacements402.png
403,0.644444,8,1,16,3,Windowplacements403.png
404,0.544444,17,18,4,6,Windowplacements404.png
405,0.627778,1,2,11,19,Windowplacements405.png
406,0.6,17,2,19,18,Windowplacements406.png
407,0.65,8,2,11,7,Windowplacements407.png
408,0.644444,8,2,19,7,Windowplacements408.png
409,0.55,16,17,18,15,Windowplacements409.png
410,0.638889,8,18,13,6,Windowplacements410.png
411,0.544444,0,17,13,6,Windowplacements411.png
412,0.611111,17,18,13,15,Windowplacements412.png
413,0.711111,2,19,13,6,Windowplacements413.png
414,0.65,0,1,19,3,Windowplacements414.png
415,0.694444,8,1,10,17,Windowplacements415.png
416,0.627778,16,19,13,15,Windowplacements416.png
417,0.611111,8,16,2,15,Windowplacements417.png
418,0.655556,0,9,17,7,Windowplacements418.png
419,0.694444,1,10,19,6,Windowplacements419.png
420,0.555556,16,1,19,6,Windowplacements420.png
421,0.605556,17,1,2,5,Windowplacements421.png
422,0.694444,0,19,3,13,Windowplacements422.png
423,0.694444,1,17,3,13,Windowplacements423.png
424,0.65,9,17,12,6,Windowplacements424.png
425,0.561111,9,2,10,13,Windowplacements425.png
426,0.711111,10,18,2,19,Windowplacements426.png
427,0.638889,0,5,14,15,Windowplacements427.png
428,0.694444,17,3,5,14,Windowplacements428.png
429,0.561111,9,13,6,15,Windowplacements429.png
430,0.622222,17,3,4,13,Windowplacements430.png
431,0.694444,1,11,4,13,Windowplacements431.png
432,0.616667,8,12,6,14,Windowplacements432.png
433,0.711111,8,11,3,5,Windowplacements433.png
434,0.611111,7,4,13,15,Windowplacements434.png
435,0.561111,17,12,14,15,Windowplacements435.png
436,0.677778,1,18,19,4,Windowplacements436.png
437,0.477778,3,4,14,15,Windowplacements437.png
438,0.633333,0,17,19,4,Windowplacements438.png
439,0.65,1,5,14,15,Windowplacements439.png
440,0.683333,8,3,19,14,Windowplacements440.png
441,0.627778,1,13,14,6,Windowplacements441.png
442,0.627778,6,1,14,15,Windowplacements442.png
443,0.65,8,10,13,6,Windowplacements443.png
444,0.616667,16,1,12,7,Windowplacements444.png
445,0.666667,8,9,18,19,Windowplacements445.png
446,0.666667,11,5,14,15,Windowplacements446.png
447,0.616667,1,11,14,6,Windowplacements447.png
448,0.688889,19,11,3,14,Windowplacements448.png
449,0.644444,0,2,13,15,Windowplacements449.png
450,0.611111,1,3,13,15,Windowplacements450.png
451,0.616667,1,11,12,5,Windowplacements451.png
452,0.705556,2,11,14,6,Windowplacements452.png
453,0.655556,0,2,14,15,Windowplacements453.png
454,0.527778,16,0,13,6,Windowplacements454.png
455,0.677778,8,11,13,6,Windowplacements455.png
456,0.633333,19,4,14,6,Windowplacements456.png
457,0.683333,11,19,3,7,Windowplacements457.png
458,0.638889,8,1,16,5,Windowplacements458.png
459,0.683333,0,2,3,4,Windowplacements459.png
460,0.65,17,9,3,4,Windowplacements460.png
461,0.688889,16,17,2,13,Windowplacements461.png
462,0.666667,17,18,2,13,Windowplacements462.png
463,0.577778,8,17,19,11,Windowplacements463.png
464,0.577778,17,19,6,15,Windowplacements464.png
465,0.672222,1,18,10,12,Windowplacements465.png
466,0.583333,8,18,12,15,Windowplacements466.png
